           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
           -243.9               67             6.13     0.0017077198    -0.0015311058    0.00083216076
           -242.9               67             6.13     0.0017630183    -0.0015778631    0.00085738848
           -241.9               67             6.13     0.0018190501    -0.0016248664    0.00088294595
           -240.9               67             6.13     0.0018758151    -0.0016721155    0.00090883306
           -239.9               67             6.13     0.0019333141    -0.0017196106    0.00093505019
           -238.9               67             6.13     0.0019915462    -0.0017673515    0.00096159696
           -237.9               67             6.13     0.0020505118     -0.001815338    0.00098847365
           -236.9               67             6.13     0.0021102107    -0.0018635707     0.0010156798
           -235.9               67             6.13     0.0021732359     -0.001916385     0.0010431734
           -234.9               67             6.13     0.0022381011    -0.0019713696     0.0010710169
           -244.9               68             6.13     0.0016184833     -0.001537903    0.00078978448
           -243.9               68             6.13     0.0016719516    -0.0015856458    0.00081435702
           -242.9               68             6.13     0.0017261534    -0.0016336347    0.00083925948
           -241.9               68             6.13     0.0017810885    -0.0016818693    0.00086449145
           -240.9               68             6.13     0.0018367569    -0.0017303497    0.00089005323
           -239.9               68             6.13      0.001893159    -0.0017790761    0.00091594481
           -238.9               68             6.13     0.0019502945    -0.0018280481    0.00094216614
           -237.9               68             6.13     0.0020081638    -0.0018772663     0.0009687175
           -236.9               68             6.13     0.0020667657      -0.00192673    0.00099559838
           -235.9               68             6.13     0.0021282278     -0.001980141     0.0010228209
           -234.9               68             6.13     0.0021919464    -0.0020365177     0.0010504174
           -244.9               69             6.13     0.0015825288    -0.0015906298     0.0007718394
           -243.9               69             6.13     0.0016349005    -0.0016396041    0.00079608662
           -242.9               69             6.13     0.0016880055    -0.0016888242    0.00082066352
           -241.9               69             6.13     0.0017418438      -0.00173829       0.00084557
           -240.9               69             6.13     0.0017964157     -0.001788002    0.00087080657
           -239.9               69             6.13     0.0018517212    -0.0018379595    0.00089637272
           -238.9               69             6.13     0.0019077599    -0.0018881629    0.00092226866
